FAS0001,PA139,2024-07-27,HS01
FAS0002,PA026,2024-05-21,HS01
FAS0003,PA274,2024-06-13,HS01
FAS0004,PA236,2023-12-07,HS01
FAS0005,PA123,2024-11-04,HS01
FAS0006,PA060,2024-03-01,HS01
FAS0007,PA018,2024-08-27,HS01
FAS0008,PA195,2024-12-14,HS01
FAS0009,PA211,2023-05-18,HS01
FAS0010,PA029,2024-11-19,HS01
FAS0011,PA289,2023-02-04,HS01
FAS0012,PA133,2023-11-25,HS01
FAS0013,PA160,2023-08-27,HS01
FAS0014,PA001,2024-01-18,HS01
FAS0015,PA109,2024-12-11,HS01
FAS0016,PA161,2023-10-02,HS01
FAS0017,PA194,2024-09-19,HS01
FAS0018,PA204,2024-09-20,HS01
FAS0019,PA220,2024-08-21,HS01
FAS0020,PA284,2023-11-17,HS01
FAS0021,PA109,2023-07-14,HS01
FAS0022,PA010,2024-03-07,HS01
FAS0023,PA110,2023-07-16,HS01
FAS0024,PA194,2023-03-13,HS01
FAS0025,PA211,2024-11-07,HS01
FAS0026,PA194,2024-06-10,HS01
FAS0027,PA012,2023-08-23,HS01
FAS0028,PA045,2024-07-19,HS01
FAS0029,PA284,2023-01-27,HS01
FAS0030,PA015,2023-08-09,HS01
FAS0031,PA163,2024-09-26,HS01
FAS0032,PA262,2023-12-05,HS01
FAS0033,PA191,2023-01-09,HS01
FAS0034,PA016,2024-09-20,HS01
FAS0035,PA026,2023-07-20,HS01
FAS0036,PA133,2024-03-31,HS01
FAS0037,PA194,2023-10-13,HS01
FAS0038,PA111,2024-05-01,HS01
FAS0039,PA055,2023-05-16,HS01
FAS0040,PA219,2024-05-22,HS01
FAS0041,PA258,2023-07-15,HS01
FAS0042,PA261,2023-01-12,HS01
FAS0043,PA066,2024-05-18,HS01
FAS0044,PA195,2023-03-19,HS01
FAS0045,PA204,2023-12-23,HS01
FAS0046,PA198,2023-12-21,HS01
FAS0047,PA083,2023-04-01,HS01
FAS0048,PA109,2024-06-06,HS01
FAS0049,PA261,2023-01-28,HS01
FAS0050,PA284,2023-02-24,HS01
FAS0051,PA183,2024-10-28,HS01
FAS0052,PA185,2023-11-29,HS01
FAS0053,PA255,2023-11-30,HS01
FAS0054,PA162,2024-06-23,HS01
FAS0055,PA122,2024-06-10,HS01
FAS0056,PA012,2023-06-22,HS01
FAS0057,PA010,2023-06-15,HS01
FAS0058,PA220,2023-07-16,HS01
FAS0059,PA269,2024-11-01,HS01
FAS0060,PA248,2023-04-22,HS01
FAS0061,PA153,2024-01-29,HS01
FAS0062,PA201,2023-06-25,HS01
FAS0063,PA219,2024-02-27,HS01
FAS0064,PA117,2023-12-27,HS01
FAS0065,PA010,2023-03-03,HS01
FAS0066,PA123,2024-07-07,HS01
FAS0067,PA103,2024-04-04,HS01
FAS0068,PA258,2023-11-27,HS01
FAS0069,PA186,2023-05-21,HS01
FAS0070,PA202,2023-09-25,HS01
FAS0071,PA217,2023-11-28,HS01
FAS0072,PA273,2024-06-20,HS01
FAS0073,PA001,2024-11-30,HS01
FAS0074,PA236,2023-07-03,HS01
FAS0075,PA066,2023-10-04,HS01
FAS0076,PA027,2023-02-26,HS01
FAS0077,PA155,2024-03-25,HS01
FAS0078,PA121,2023-11-16,HS01
FAS0079,PA284,2024-03-10,HS01
FAS0080,PA026,2023-04-05,HS01
FAS0081,PA164,2023-07-11,HS01
FAS0082,PA122,2023-05-21,HS01
FAS0083,PA194,2023-02-14,HS01
FAS0084,PA209,2024-11-28,HS01
FAS0085,PA246,2023-03-06,HS01
FAS0086,PA300,2023-08-31,HS01
FAS0087,PA255,2024-08-09,HS01
FAS0088,PA191,2024-02-21,HS01
FAS0089,PA219,2024-11-18,HS01
FAS0090,PA217,2024-08-09,HS01
FAS0091,PA265,2024-12-25,HS01
FAS0092,PA011,2023-06-17,HS01
FAS0093,PA211,2023-03-03,HS01
FAS0094,PA198,2024-10-20,HS01
FAS0095,PA010,2024-05-29,HS01
FAS0096,PA174,2023-02-16,HS01
FAS0097,PA094,2024-07-04,HS01
FAS0098,PA074,2024-02-19,HS01
FAS0099,PA201,2023-06-20,HS01
FAS0100,PA117,2024-01-26,HS01
FAS0101,PA047,2023-08-27,HS02
FAS0102,PA218,2023-08-01,HS02
FAS0103,PA110,2023-03-09,HS02
FAS0104,PA091,2024-03-09,HS02
FAS0105,PA123,2024-08-29,HS02
FAS0106,PA007,2023-09-06,HS02
FAS0107,PA037,2023-05-30,HS02
FAS0108,PA158,2023-06-15,HS02
FAS0109,PA260,2023-10-08,HS02
FAS0110,PA013,2023-05-12,HS02
FAS0111,PA014,2024-01-07,HS02
FAS0112,PA285,2023-08-19,HS02
FAS0113,PA122,2024-08-02,HS02
FAS0114,PA171,2023-11-20,HS02
FAS0115,PA203,2024-04-13,HS02
FAS0116,PA224,2024-01-27,HS02
FAS0117,PA217,2024-04-11,HS02
FAS0118,PA001,2023-01-31,HS02
FAS0119,PA174,2024-06-30,HS02
FAS0120,PA055,2023-03-13,HS02
FAS0121,PA161,2023-04-13,HS02
FAS0122,PA064,2024-11-13,HS02
FAS0123,PA164,2023-12-22,HS02
FAS0124,PA023,2023-05-16,HS02
FAS0125,PA283,2024-09-25,HS02
FAS0126,PA185,2023-03-09,HS02
FAS0127,PA211,2023-07-17,HS02
FAS0128,PA114,2023-05-06,HS02
FAS0129,PA101,2023-06-21,HS02
FAS0130,PA163,2024-05-12,HS02
FAS0131,PA288,2024-02-06,HS02
FAS0132,PA285,2023-11-21,HS02
FAS0133,PA122,2024-06-26,HS02
FAS0134,PA112,2024-04-26,HS02
FAS0135,PA164,2024-09-19,HS02
FAS0136,PA135,2024-08-19,HS02
FAS0137,PA183,2024-02-21,HS02
FAS0138,PA291,2024-07-27,HS02
FAS0139,PA027,2024-09-23,HS02
FAS0140,PA283,2023-03-11,HS02
FAS0141,PA157,2023-05-29,HS02
FAS0142,PA214,2023-01-27,HS02
FAS0143,PA203,2023-05-08,HS02
FAS0144,PA020,2023-12-23,HS02
FAS0145,PA194,2024-11-22,HS02
FAS0146,PA273,2024-07-18,HS02
FAS0147,PA202,2024-03-17,HS02
FAS0148,PA014,2024-06-13,HS02
FAS0149,PA139,2024-02-19,HS02
FAS0150,PA059,2024-05-18,HS02
FAS0151,PA047,2023-12-17,HS02
FAS0152,PA185,2024-03-31,HS02
FAS0153,PA117,2023-11-16,HS02
FAS0154,PA157,2024-09-13,HS02
FAS0155,PA116,2024-03-15,HS02
FAS0156,PA248,2023-01-06,HS02
FAS0157,PA194,2024-01-08,HS02
FAS0158,PA265,2024-03-04,HS02
FAS0159,PA108,2023-12-27,HS02
FAS0160,PA140,2024-01-05,HS02
FAS0161,PA025,2023-10-01,HS02
FAS0162,PA157,2024-07-04,HS02
FAS0163,PA109,2024-09-28,HS02
FAS0164,PA046,2023-06-03,HS02
FAS0165,PA103,2024-03-26,HS02
FAS0166,PA211,2024-01-07,HS02
FAS0167,PA201,2024-03-02,HS02
FAS0168,PA157,2024-12-30,HS02
FAS0169,PA081,2024-03-22,HS02
FAS0170,PA029,2023-04-07,HS02
FAS0171,PA070,2023-11-23,HS02
